Namespace(cpu=False, exp_name='loop_0.5dt', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-5ryeecot
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=211.84249877929688, F_max=1.3602321147918701
C_max=208.46624755859375, F_max=1.360420823097229
C_max=209.9580535888672, F_max=1.3603488206863403
C_max=206.70584106445312, F_max=1.3600927591323853
C_max=204.4757080078125, F_max=1.3597137928009033
C_max=200.0760498046875, F_max=1.3592610359191895
C_max=216.6669921875, F_max=1.3587723970413208
C_max=244.867919921875, F_max=1.3582751750946045
C_max=275.145751953125, F_max=1.357792854309082
C_max=303.60107421875, F_max=1.3680751323699951
C_max=326.31494140625, F_max=1.381029725074768
C_max=340.856689453125, F_max=1.3934828042984009
C_max=346.5751953125, F_max=1.4047683477401733
C_max=344.3876953125, F_max=1.4142513275146484
C_max=336.3134765625, F_max=1.4213945865631104
C_max=324.08203125, F_max=1.4258246421813965
C_max=309.3076171875, F_max=1.427353024482727
C_max=293.3466796875, F_max=1.4259799718856812
C_max=293.26275634765625, F_max=1.4218615293502808
C_max=303.2403564453125, F_max=1.4152635335922241
C_max=309.7000732421875, F_max=1.406523585319519
C_max=312.27392578125, F_max=1.396026849746704
C_max=310.956787109375, F_max=1.3841842412948608
C_max=305.30322265625, F_max=1.3714244365692139
C_max=306.2958984375, F_max=1.35814368724823
C_max=310.014892578125, F_max=1.3446944952011108
C_max=308.05126953125, F_max=1.3414767980575562
C_max=301.03955078125, F_max=1.3390896320343018
C_max=289.72900390625, F_max=1.336308479309082
C_max=280.091796875, F_max=1.333132028579712
C_max=269.95068359375, F_max=1.329619288444519
C_max=255.88671875, F_max=1.3258713483810425
C_max=238.388671875, F_max=1.322009801864624
C_max=228.568359375, F_max=1.318163275718689
C_max=233.44873046875, F_max=1.3144574165344238
C_max=233.88671875, F_max=1.3110132217407227
C_max=229.79541015625, F_max=1.3079358339309692
C_max=221.18212890625, F_max=1.3053159713745117
iter [0/500]: lr=3e-02, loss=6.2700, E=1047.31, E_gt=1351.12; nu=0.2293, nu_gt=0.0840; C_dist=1384.00; F_dist=0.01
C_max=412.078125, F_max=1.0724413394927979
C_max=387.541015625, F_max=1.0709102153778076
C_max=371.18359375, F_max=1.0694363117218018
C_max=372.0234375, F_max=1.0679126977920532
C_max=372.998046875, F_max=1.0662730932235718
C_max=374.1083984375, F_max=1.0691678524017334
C_max=375.2392578125, F_max=1.0740476846694946
C_max=376.26171875, F_max=1.0783439874649048
C_max=377.041015625, F_max=1.083885908126831
C_max=377.423828125, F_max=1.0904425382614136
C_max=377.1748046875, F_max=1.0969504117965698
C_max=375.9736328125, F_max=1.1033333539962769
C_max=373.5263671875, F_max=1.1095138788223267
C_max=369.6953125, F_max=1.1154190301895142
C_max=364.443359375, F_max=1.1209803819656372
C_max=357.83642578125, F_max=1.1261340379714966
C_max=350.04052734375, F_max=1.1308245658874512
C_max=341.271484375, F_max=1.135004997253418
C_max=331.75634765625, F_max=1.1386369466781616
C_max=321.71630859375, F_max=1.1416881084442139
C_max=311.3408203125, F_max=1.1441116333007812
C_max=300.79541015625, F_max=1.1458467245101929
C_max=290.2119140625, F_max=1.1468355655670166
C_max=279.690673828125, F_max=1.147028923034668
C_max=270.41094970703125, F_max=1.1463918685913086
C_max=262.3421630859375, F_max=1.1449211835861206
C_max=254.2762451171875, F_max=1.1426538228988647
C_max=246.1927490234375, F_max=1.1396795511245728
C_max=238.073486328125, F_max=1.1417107582092285
C_max=229.893798828125, F_max=1.1479179859161377
C_max=221.619140625, F_max=1.1542476415634155
C_max=214.744140625, F_max=1.160589575767517
C_max=209.37744140625, F_max=1.16682767868042
C_max=203.419921875, F_max=1.172841191291809
C_max=200.439453125, F_max=1.178507685661316
C_max=210.700927734375, F_max=1.1837010383605957
C_max=225.829345703125, F_max=1.188297152519226
C_max=240.46923828125, F_max=1.1921809911727905
C_max=253.3519287109375, F_max=1.1952558755874634
C_max=263.041015625, F_max=1.1974531412124634
C_max=267.91455078125, F_max=1.1987611055374146
C_max=266.937744140625, F_max=1.1992741823196411
C_max=260.430419921875, F_max=1.19913649559021
C_max=249.56298828125, F_max=1.1985174417495728
C_max=235.7491455078125, F_max=1.197587013244629
C_max=220.2659912109375, F_max=1.1965035200119019
C_max=204.2310791015625, F_max=1.1954033374786377
C_max=192.806640625, F_max=1.1943955421447754
C_max=201.39453125, F_max=1.1935546398162842
C_max=209.671875, F_max=1.192915678024292
C_max=217.25390625, F_max=1.1924805641174316
C_max=223.712890625, F_max=1.1922277212142944
C_max=228.59765625, F_max=1.1921137571334839
C_max=231.3671875, F_max=1.192081093788147
C_max=232.255859375, F_max=1.192065954208374
C_max=232.376953125, F_max=1.1920089721679688
C_max=230.130859375, F_max=1.1918587684631348
C_max=225.90234375, F_max=1.191575527191162
C_max=221.453125, F_max=1.1911344528198242
C_max=216.853515625, F_max=1.1905242204666138
C_max=213.1328125, F_max=1.1897424459457397
C_max=213.84765625, F_max=1.1887952089309692
C_max=214.736328125, F_max=1.1876933574676514
C_max=215.0244140625, F_max=1.1864497661590576
C_max=214.7373046875, F_max=1.1850782632827759
C_max=213.8876953125, F_max=1.1835908889770508
C_max=212.498046875, F_max=1.1839176416397095
C_max=210.609375, F_max=1.1861110925674438
C_max=211.083984375, F_max=1.1880987882614136
C_max=215.244140625, F_max=1.1898424625396729
C_max=220.263671875, F_max=1.191316843032837
C_max=226.107421875, F_max=1.1925116777420044
C_max=232.6796875, F_max=1.193424105644226
C_max=239.83203125, F_max=1.1940585374832153
C_max=247.48046875, F_max=1.1944224834442139
C_max=255.5390625, F_max=1.1945278644561768
C_max=263.74609375, F_max=1.1943824291229248
C_max=271.650390625, F_max=1.1939888000488281
C_max=278.6171875, F_max=1.1933437585830688
C_max=283.859375, F_max=1.1937686204910278
C_max=286.529296875, F_max=1.1944966316223145
C_max=285.875, F_max=1.1947129964828491
C_max=281.474609375, F_max=1.1943985223770142
C_max=273.19140625, F_max=1.1935687065124512
C_max=261.7158203125, F_max=1.1922671794891357
C_max=249.0478515625, F_max=1.1905624866485596
C_max=234.2978515625, F_max=1.188538670539856
C_max=221.767578125, F_max=1.1862865686416626
C_max=210.3349609375, F_max=1.1838959455490112
C_max=202.5361328125, F_max=1.1814512014389038
C_max=194.4130859375, F_max=1.1790242195129395
C_max=185.7666015625, F_max=1.176665186882019
C_max=177.0595703125, F_max=1.174399971961975
C_max=171.29296875, F_max=1.1722354888916016
C_max=171.30859375, F_max=1.1709340810775757
C_max=175.7041015625, F_max=1.1703041791915894
C_max=179.3232421875, F_max=1.1694163084030151
C_max=181.962890625, F_max=1.1682604551315308
C_max=183.544921875, F_max=1.1668329238891602
C_max=184.068359375, F_max=1.1651405096054077
C_max=183.591796875, F_max=1.1682623624801636
C_max=182.1943359375, F_max=1.1772793531417847
C_max=179.9814453125, F_max=1.1863336563110352
C_max=177.07470703125, F_max=1.1953940391540527
C_max=178.4921875, F_max=1.204442024230957
C_max=186.29296875, F_max=1.213465929031372
C_max=194.140625, F_max=1.2224624156951904
C_max=201.69921875, F_max=1.2314527034759521
C_max=208.63671875, F_max=1.2404474020004272
C_max=214.65234375, F_max=1.2494423389434814
C_max=219.5078125, F_max=1.2584166526794434
C_max=222.9921875, F_max=1.267332911491394
C_max=224.96875, F_max=1.276140809059143
C_max=225.390625, F_max=1.2847825288772583
C_max=224.2734375, F_max=1.2932442426681519
C_max=221.6875, F_max=1.3014882802963257
C_max=217.76953125, F_max=1.3094429969787598
C_max=212.6484375, F_max=1.3170602321624756
C_max=206.48046875, F_max=1.3243404626846313
C_max=199.42578125, F_max=1.3312596082687378
C_max=191.65234375, F_max=1.337759256362915
C_max=196.6005859375, F_max=1.3437713384628296
C_max=201.4072265625, F_max=1.3492469787597656
C_max=205.5703125, F_max=1.3541622161865234
C_max=208.955078125, F_max=1.358516812324524
C_max=211.439453125, F_max=1.362318992614746
C_max=212.8828125, F_max=1.3655835390090942
C_max=213.1083984375, F_max=1.3683298826217651
C_max=211.951171875, F_max=1.3705854415893555
C_max=209.2099609375, F_max=1.3723838329315186
C_max=204.740234375, F_max=1.3737741708755493
C_max=198.3994140625, F_max=1.3748228549957275
C_max=190.1845703125, F_max=1.375532627105713
C_max=180.244140625, F_max=1.3758553266525269
C_max=186.77978515625, F_max=1.3757133483886719
C_max=199.08209228515625, F_max=1.3750139474868774
C_max=207.42803955078125, F_max=1.373658537864685
C_max=210.48519897460938, F_max=1.3715506792068481
C_max=208.03506469726562, F_max=1.3686048984527588
C_max=201.18060302734375, F_max=1.3647643327713013
C_max=191.746337890625, F_max=1.3600599765777588
C_max=181.4312744140625, F_max=1.3545235395431519
C_max=171.3878173828125, F_max=1.34817636013031
C_max=162.1748046875, F_max=1.3410651683807373
C_max=153.8798828125, F_max=1.3332644701004028
