Namespace(cpu=False, exp_name='loop', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-ab8ymzk3
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=428.55859375, F_max=1.107239842414856
C_max=423.203125, F_max=1.1215827465057373
C_max=411.85107421875, F_max=1.134561538696289
C_max=394.98779296875, F_max=1.1451056003570557
C_max=373.95556640625, F_max=1.1524503231048584
C_max=350.275390625, F_max=1.156195044517517
C_max=325.28173828125, F_max=1.1559758186340332
C_max=299.8851318359375, F_max=1.1516108512878418
C_max=283.99267578125, F_max=1.1434695720672607
C_max=284.9306640625, F_max=1.1576250791549683
C_max=273.142822265625, F_max=1.1725045442581177
C_max=251.783203125, F_max=1.185817003250122
C_max=256.005859375, F_max=1.1967655420303345
C_max=269.431640625, F_max=1.2045049667358398
C_max=308.605224609375, F_max=1.2080180644989014
C_max=339.68994140625, F_max=1.2065246105194092
C_max=346.086181640625, F_max=1.200502634048462
C_max=320.270751953125, F_max=1.192186951637268
C_max=274.0299072265625, F_max=1.1883660554885864
C_max=233.072265625, F_max=1.1862541437149048
C_max=257.98046875, F_max=1.1902155876159668
C_max=280.361328125, F_max=1.197920560836792
C_max=292.279296875, F_max=1.199249267578125
C_max=288.431640625, F_max=1.1961079835891724
C_max=277.322265625, F_max=1.190934419631958
C_max=260.826171875, F_max=1.1856603622436523
C_max=246.947265625, F_max=1.1891326904296875
C_max=241.1259765625, F_max=1.1969611644744873
C_max=240.22265625, F_max=1.2039334774017334
C_max=236.0625, F_max=1.2091960906982422
C_max=230.51953125, F_max=1.2122077941894531
C_max=240.47265625, F_max=1.2129994630813599
C_max=257.51171875, F_max=1.212100625038147
C_max=277.390625, F_max=1.2102153301239014
C_max=297.02734375, F_max=1.207922101020813
C_max=309.41015625, F_max=1.2055323123931885
C_max=307.791015625, F_max=1.2031984329223633
C_max=289.23828125, F_max=1.2010204792022705
C_max=258.4423828125, F_max=1.1989738941192627
C_max=254.796875, F_max=1.1972026824951172
C_max=261.30078125, F_max=1.1955749988555908
C_max=253.58203125, F_max=1.1937683820724487
C_max=232.12109375, F_max=1.1913939714431763
C_max=204.6015625, F_max=1.1882483959197998
C_max=196.57421875, F_max=1.1845703125
C_max=192.373046875, F_max=1.1808598041534424
